Row Labels,Sum of Amount spent (USD),Sum of Purchases
C052_UK_2203_APP_Cov_Purchase-Story_Lookalike_Vid06s_feb22-sq-shop,0.23,
C105_UK_2205_MLP_Cov_Purchase-Retargeting-Only-L5M-Converted-Cities-APP&SPG_Retargeting_Static_kate-price-tag-spg,212.86,
C038_UK_2202_APP_Cov_Purchase_Retargeting_Vid06s_feb22-sq-shop,77.56,
Vid_Chi_sg-app(voice) y,4.07,
Static_testimonial_comfort_lifestyle-app,32.86,
Static_searchbar-app,20.14,
C022_SG_2201_APP_Con_Traffic_Interest_Static_female-cake,14.57,
Vid_Chi_sg-app(voice),14.19,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Lookalike_Static_finding-way-price-tag-spg,1.59,
Vid06_testimonial_comfort_woproduct-app,35.74,
C067_SG_2203_APP_Cov_Purchase-Story_Lookalike_IStory_mar22-sq-shop,17.73,
Vid30_Intimacy-app,31.4,
C066_SG_2203_APP_Cov_Purchase_Interest_Vid06s_mar22-sq-shop,32.86,
Static_conceivenaturally_marriage-app,71.86,
Static_Ind_uk-app(no voice),3.86,
Static_conceivenaturally_generic-app,68.76,
C118_SG_2206_MLP_Cov_Purchase-APP&SPG_Lookalike_Static_jun-promo,8.4,
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_may22-app,29.23,
C041_UK_2202_APP_Cov_ViewContent-Story_Interest_Vid06s_feb22-shop,90.01,
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_free-lubricant-spg,67.2,
C039_UK_2202_APP_Cov_ViewContent_Retargeting_Vid06s_feb22-169-shop,0.35,
Under 99 - APP Bundle,48.2,
C038_UK_2202_APP_Cov_Purchase_Interest_Vid06s_mar22-pre-order-shop,45.4,
(blank),,
C108_UK_2205_MLP_Cov_AddtoCart-APP&SPG_Interest_Vid06s_want-to-start-blue-spg,135.28,
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Lookalike_IStory_free-lubricant-spg,33.01,
C030_SG_2202_APP_Cov_Purchase_Interest_Vid06s_feb22-169-shop,146.86,
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_trying-for-a-baby-spg,234.71,
C022_SG_2201_APP_Con_Traffic_Interest_Static_why-you-need-timed,18.31,
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_may22-app,52.82,
A005_SG_2201_APP_Awa_Reach_Interest_Static_why-you-need-hurt,42.93,
C103_SG_2205_MLP_Cov_Purchase-APP&SPG-story_Interest_IStory_free-lubricant-spg,67.95,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Lookalike_Static_teoh-price-tag-app,16.19,
Vid06_testimonial_intimacy_woproduct-app,135.8,
C070_UK_2204_MLP_Cov_Purchase-L5M-Converted-Cities-APP&SPG_Interest_Vid06s_apr-offer-app,116.45,
Static_BMI_uk-app(no voice),50.73,
C119_UK_2206_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_lubricant-trying-baby-spg,7.64,
C102_SG_2205_MLP_Cov_Purchase-APP&SPG_Lookalike_Vid06s_want-to-start-blue-spg,54.14,
C067_SG_2203_APP_Cov_Purchase-Story_Interest_IStory_mar22-sq-shop,6.58,
Vid_takepressureoff_uk-app(voice),7.36,
C066_SG_2203_APP_Cov_Purchase_Lookalike_Vid06s_mar22-sq-shop,63.94,
C102_SG_2205_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_want-to-start-blue-spg,298.51,
C065_SG_2203_APP_Con_Traffic-CHI-only_Interest_Static_baby-making-nervous-CHI,168.86,
C139_UK_2208_MLP_Cov_Purchase-Retargeting-Only_Retargeting_Vid06s_new-applicator-v1,222.66,
C054_SG_2203_APP_Cov_Purchase-Story_Retargeting_IStory_baby-making-shop,82.86,
C101_SG_2205_MLP_Cov_Purchase-Retargeting-Only-APP&SPG_Retargeting_Vid30s_what-SPG-how-it-work-spg,17.83,
Static_Ind_sg-app(no voice),40.91,
Vid_Ind_uk-app(voice),6.88,
C053_SG_2203_APP_Cov_Purchase_Lookalike_Static_baby-making-sun-shop,4.53,
C138_US_2208_MLP_Cov_Purchase_Lookalike_Vid06s_soft-tip-app,39.55,
C052_UK_2203_APP_Cov_Purchase-Story_Retargeting_Vid06s_feb22-sq-shop,20.82,
Vid_Ind_sg-app(voice),9.36,
C118_SG_2206_MLP_Cov_Purchase-APP&SPG_Interest_Vid06s_mid-year-sale-spg,120.29,
C137_US_2208_MLP_Cov_Purchase-Retargeting-Only_Retargeting_Vid06s_new-applicator-v1,320.52,
C118_SG_2206_MLP_Cov_Purchase-APP&SPG_Interest_Static_jun-promo,52.11,
C132_UK_2207_MLP_Cov_Purchase-Retargeting-Only-Other-Cities-APP&SPG_Retargeting_Vid30s_what-SPG-how-it-work-spg,2.15,
C040_SG_2202_APP_Cov_Purchase-Story_Interest_Static_baby-making-sun-shop,33.37,
C089_SG_2204_MLP_Cov_Purchase-APP&SPG-story_Retargeting_IStory_free-lubricant-spg,9.65,
C039_UK_2202_APP_Cov_ViewContent_Interest_Vid06s_feb22-169-shop,12.43,
